149,36,67,48
128,48,63,51
99,66,69,56
79,69,68,70
61,69,65,69
53,76,55,64
52,90,46,62
53,100,51,60
52,108,68,63
84,115,62,50
98,98,78,61
133,86,60,64
161,90,57,65
187,94,51,62
193,90,70,75
212,93,75,64
226,96,77,65
220,90,78,80
232,96,59,71
248,99,66,72
265,103,75,74
275,114,71,66
286,128,55,55
287,135,53,54
289,126,54,63
278,112,60,68
266,104,51,58
245,94,50,61
215,88,60,64
204,93,60,58
202,102,57,50
200,112,52,43
187,114,50,39
172,109,49,49
163,105,49,50
153,103,43,49
143,104,39,45
137,104,36,42
133,102,43,44
135,96,45,45
139,90,47,43
145,97,41,34
149,105,39,32
155,105,43,39
170,104,40,37
184,108,35,30
191,107,40,37
216,108,30,36
224,109,35,40
232,109,39,41
234,108,38,40
