110,63,200,134
108,62,201,135
107,62,202,135
107,62,202,135
106,62,202,136
106,63,202,135
103,63,204,135
101,63,206,136
101,63,205,136
101,64,205,135
103,64,202,135
103,64,202,136
104,65,202,135
105,65,201,134
105,64,201,134
106,63,200,135
107,62,200,135
106,61,200,134
105,61,200,132
104,61,199,132
103,61,197,130
102,61,196,130
102,61,194,130
101,60,192,131
101,60,189,131
102,60,185,131
103,60,181,132
104,61,177,131
103,61,176,132
102,62,175,131
102,62,174,132
103,63,172,132
103,63,172,132
104,63,171,133
104,63,170,133
104,63,169,133
104,63,168,133
104,63,168,134
104,63,167,134
104,63,167,134
104,64,168,133
103,64,168,134
102,64,168,134
100,63,169,135
99,63,169,135
97,64,170,134
94,64,172,134
92,64,172,135
90,64,173,135
88,64,174,135
87,64,173,135
85,64,174,135
85,64,172,135
84,64,172,135
85,64,169,136
87,64,165,134
89,64,162,132
92,64,157,131
94,64,154,130
90,63,157,132
73,63,173,131
68,62,178,132
61,62,184,133
55,62,190,133
52,62,193,134
48,63,197,133
48,63,197,133
47,63,198,133
49,63,196,134
51,63,194,134
53,63,192,134
56,63,188,134
61,63,183,134
65,63,179,135
66,63,178,135
76,63,167,135
93,62,151,136
94,62,149,136
93,62,150,136
88,62,154,136
88,62,154,136
85,62,158,136
82,62,162,136
83,62,160,135
85,61,157,133
89,61,151,131
91,59,148,131
98,59,139,129
101,59,134,127
101,58,131,125
100,58,131,123
100,57,129,123
100,56,127,124
100,56,125,124
100,56,122,124
100,55,120,125
100,55,119,125
100,55,117,125
100,54,116,125
100,54,116,125
100,53,120,126
100,53,126,126
99,52,130,127
99,52,131,126
