69,74,245,132
70,75,243,129
69,75,242,129
69,75,239,129
69,75,234,128
69,75,232,127
69,74,232,127
69,73,232,127
69,72,230,128
68,71,230,128
68,70,229,129
68,69,228,129
69,68,227,130
71,68,225,129
72,68,224,129
74,68,222,129
75,68,221,129
77,68,219,129
78,69,219,128
79,69,219,128
81,69,218,128
83,69,218,129
85,69,217,128
87,69,218,128
89,69,219,128
91,69,221,128
92,69,223,128
94,69,223,128
95,69,222,128
97,69,219,128
97,69,216,127
98,69,214,127
99,69,211,127
99,69,209,125
100,69,205,123
101,68,201,123
102,68,200,122
103,68,199,122
65,68,237,122
64,67,237,123
64,67,237,123
64,67,237,123
64,66,237,124
64,66,237,124
64,66,237,123
64,66,238,123
64,65,238,124
64,65,238,124
64,65,238,124
64,65,239,124
64,65,241,124
65,65,242,124
65,65,243,124
65,65,244,124
65,65,246,124
65,65,247,123
65,65,248,123
66,65,248,123
66,64,250,124
66,64,251,123
66,64,251,123
66,64,251,123
66,64,250,121
66,64,248,120
66,64,246,118
66,64,243,118
66,64,241,117
66,64,242,117
67,65,242,115
67,65,240,114
68,64,238,115
69,64,236,115
69,64,236,116
70,64,236,115
70,64,237,116
71,65,236,115
72,65,236,116
72,66,236,115
72,66,237,115
73,66,237,115
73,66,238,116
74,67,239,115
74,67,240,115
75,67,240,114
75,67,241,114
75,66,242,115
76,66,242,116
76,66,242,115
77,66,241,115
78,66,241,115
