131,43,222,171
129,43,222,171
126,43,224,172
124,43,224,173
122,44,225,172
120,44,226,173
118,45,227,172
115,47,229,171
114,48,228,171
112,50,229,170
111,51,228,169
110,52,228,169
109,54,227,168
108,55,227,167
106,55,227,167
105,54,226,168
103,53,226,169
101,52,226,170
101,51,224,171
103,49,220,171
107,47,214,170
111,45,209,169
111,42,207,170
116,41,200,170
118,40,196,171
124,41,189,170
129,41,182,170
136,42,174,169
136,41,172,169
135,40,172,170
134,40,171,171
133,40,170,172
131,40,171,173
130,41,171,173
130,43,170,173
129,45,171,172
129,47,171,171
129,49,171,170
130,51,170,169
130,52,169,168
131,53,167,168
131,53,166,169
132,52,164,170
131,51,164,170
131,50,163,171
129,50,163,172
129,49,162,172
129,49,161,171
130,49,159,171
133,50,154,168
137,50,149,167
143,49,142,167
149,49,134,167
154,49,128,166
158,49,123,166
162,49,117,167
164,49,114,167
165,50,112,167
165,50,112,168
166,52,110,168
166,54,110,167
166,55,110,167
166,56,109,167
165,56,109,167
164,57,109,166
163,57,109,166
163,58,107,165
162,58,107,164
161,58,106,164
160,57,105,164
160,56,104,165
161,54,102,166
161,53,100,166
162,52,98,167
162,52,97,167
162,51,96,167
163,51,94,167
164,51,92,166
166,52,89,165
167,52,87,164
167,52,86,163
168,53,84,161
168,53,83,161
169,53,81,159
169,54,80,158
169,54,79,158
169,53,78,159
169,54,77,158
169,53,76,159
169,53,75,159
